Borough,Lat,Long
Charlottenburg-Wilmersdorf, 52°30′N, 13°17′E
Friedrichshain-Kreuzberg, 52°30′N, 13°27′E 
Lichtenberg, 52°32′N, 13°30′E
Marzahn-Hellersdorf, 52°32′N, 13°35′E
Mitte, 52°31′N, 13°22′E
Neukölln, 52°29′N, 13°27′E
Pankow, 52°34′N, 13°24′E
Reinickendorf, 52°34′N, 13°20′E
Spandau,52°27′N, 13°34′E
Steglitz-Zehlendorf, 52°26′N, 13°15′E
Tempelhof-Schöneberg, 52°28′N, 13°23′E
